id,client_id,text_content,codified_data,query_history,doc_count,last_updated
5fa55915-67fd-515a-85bb-c575cd7972c0,Bank_A,This Agreement will be governed by and construed in accordance with English law.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Exclusive"":""No""}}","[{""query"":""Please confirm capture approach for Governing Law (BARC-ENG-001)."",""role"":""Analyst"",""date"":""2023-01-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-01""}]",1,2023-01-01T00:00:00+00:00
cd5f145b-98bc-5089-94bb-55804dbcb2cf,Bank_A,Governing Law: English Law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (HSBC-ENG-002)."",""role"":""Analyst"",""date"":""2023-01-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-05""}]",1,2023-01-05T00:00:00+00:00
a52750f7-1282-5040-ab4b-d6697d3b4a94,Bank_B,This Agreement shall be governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (LLOYDS-ENG-003)."",""role"":""Analyst"",""date"":""2023-01-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-10""}]",1,2023-01-10T00:00:00+00:00
f3f8b13d-f00e-5265-9d5a-3b8d596c62e6,Bank_B,The parties agree that this contract is subject to English Law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (RBS-ENG-004)."",""role"":""Analyst"",""date"":""2023-01-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-15""}]",1,2023-01-15T00:00:00+00:00
e7f27a92-189b-5615-b172-ffefcf8b2f35,Bank_C,This Agreement is governed by the laws of England.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (STD-ENG-005)."",""role"":""Analyst"",""date"":""2023-01-20""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-01-20""}]",1,2023-01-20T00:00:00+00:00
7c94f665-2446-5895-9388-b7bd7e1205bf,Bank_A,This Agreement and any non-contractual obligations arising out of or in connection with it are governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Non-Contractual"":""Included""}}","[{""query"":""Please confirm capture approach for Governing Law (JPM-ENG-006)."",""role"":""Analyst"",""date"":""2023-02-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-01""}]",1,2023-02-01T00:00:00+00:00
0909f17d-729c-5d22-910d-310716845a60,Bank_B,This Agreement will be governed by and construed in accordance with the laws of England and Wales.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Exact Wording"":""England and Wales""}}","[{""query"":""Please confirm capture approach for Governing Law (MS-ENG-007)."",""role"":""Analyst"",""date"":""2023-02-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-05""}]",1,2023-02-05T00:00:00+00:00
c28a4b41-e4bb-5c39-9824-677f273ddddd,Bank_C,The parties hereby irrevocably submit to the exclusive jurisdiction of the English courts.,"{""Governing Law"":{""Jurisdiction"":""English Law"",""Exclusive"":""Yes""}}","[{""query"":""Please confirm capture approach for Governing Law (GS-ENG-008)."",""role"":""Analyst"",""date"":""2023-02-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-10""}]",1,2023-02-10T00:00:00+00:00
2a2ab2df-fc3f-5f25-89b6-1af4906cc5fd,Bank_A,Governing Law and Jurisdiction: English Law and the High Court of Justice in London.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (CITI-ENG-009)."",""role"":""Analyst"",""date"":""2023-02-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-02-15""}]",1,2023-02-15T00:00:00+00:00
99c94355-9750-5eab-9145-7791d7764d7f,Bank_B,This Deed shall be governed by and construed in accordance with English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (UBS-ENG-010)."",""role"":""Analyst"",""date"":""2023-03-01""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-01""}]",1,2023-03-01T00:00:00+00:00
dd7f576d-2c2d-58d7-9fe9-dee760b01ad9,Bank_C,This Confirmation shall be governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (CS-ENG-011)."",""role"":""Analyst"",""date"":""2023-03-05""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-05""}]",1,2023-03-05T00:00:00+00:00
8d0cd2c4-fdbf-58aa-82f8-60ebeb701d01,Bank_A,This Letter Agreement is governed by English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (NOM-ENG-012)."",""role"":""Analyst"",""date"":""2023-03-10""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-10""}]",1,2023-03-10T00:00:00+00:00
318fbc45-833e-5b97-898d-af2bac25ed98,Bank_B,This Amendment is subject to English law.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (SOCGEN-ENG-013)."",""role"":""Analyst"",""date"":""2023-03-15""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-15""}]",1,2023-03-15T00:00:00+00:00
743e4c21-e19e-536f-8e76-b044d724b7c9,Bank_C,Applicable Law: The laws of England.,"{""Governing Law"":{""Jurisdiction"":""English Law""}}","[{""query"":""Please confirm capture approach for Governing Law (BNP-ENG-014)."",""role"":""Analyst"",""date"":""2023-03-20""},{""response"":""Capture as agreed in client operating memo."",""role"":""Client"",""date"":""2023-03-20""}]",1,2023-03-20T00:00:00+00:00
